School Year,School Code,Organization,Assessment Name,ContentArea,Grade,PctProficient,ScaleScoreAvg,FallEnrollment,"Students Per Teacher, Regular","Students Per Teacher, Special","Students Per Specialist, Instructional",Students Per Assistant Superintendent,Students Per Administrative Assistant,"Students Per Supervisor, Pupil Support",Students Per Crafts & Trades,Students Per Technical,"Students Per Supervisor, General Support",Students Per Custodial,Students Per Managerial,Students Per Director,"Students Per Supervisor, Instructional",Students Per Secretarial,Students Per Superintendent,Students Per Cafeteria Worker,"Students Per Specialist, General Support",Students Per Home Visitor,Students Per Other Pupil Support,Students Per Psychologist,Students Per Speech and Hearing Therapist,Students Per Other Instructional Support,"Students Per Specialist, Pupil Support",Students Per Teaching & Clerical Aide,Students Per Nurse,Students Per Social Worker,Students Per Principal,Students Per Guidance Counselor,Students Per Assistant Principal,Students Per Librarian,Students Per Service Aide,Students Per Bus Driver & Laborer,Students Per Other General Support,Students Per Psychometrist
2015,618,Star Hill Elementary School,Smarter Balanced Summative Assessment,MATH,All Students,68.15,,495.0,19.8,123.75,495.0,,,,,,,165.0,495.0,,,247.5,,123.75,,,,,,,,123.75,495.0,,495.0,495.0,495.0,495.0,495.0,,,
2015,620,W. B. Simpson Elementary School,Smarter Balanced Summative Assessment,ELA,3rd Grade,75.95,2468.62,542.0,19.357142857142858,180.66666666666666,,,,,,,,108.4,542.0,,,271.0,,90.33333333333333,,,,,,,,135.5,542.0,,542.0,542.0,,542.0,,,,
2015,620,W. B. Simpson Elementary School,Smarter Balanced Summative Assessment,ELA,4th Grade,71.43,2519.77,542.0,19.357142857142858,180.66666666666666,,,,,,,,108.4,542.0,,,271.0,,90.33333333333333,,,,,,,,135.5,542.0,,542.0,542.0,,542.0,,,,
2015,620,W. B. Simpson Elementary School,Smarter Balanced Summative Assessment,ELA,5th Grade,72.36,2546.15,542.0,19.357142857142858,180.66666666666666,,,,,,,,108.4,542.0,,,271.0,,90.33333333333333,,,,,,,,135.5,542.0,,542.0,542.0,,542.0,,,,
2015,620,W. B. Simpson Elementary School,Smarter Balanced Summative Assessment,ELA,All Students,73.04,,542.0,19.357142857142858,180.66666666666666,,,,,,,,108.4,542.0,,,271.0,,90.33333333333333,,,,,,,,135.5,542.0,,542.0,542.0,,542.0,,,,
2015,620,W. B. Simpson Elementary School,Smarter Balanced Summative Assessment,MATH,3rd Grade,57.69,2450.46,542.0,19.357142857142858,180.66666666666666,,,,,,,,108.4,542.0,,,271.0,,90.33333333333333,,,,,,,,135.5,542.0,,542.0,542.0,,542.0,,,,
2015,620,W. B. Simpson Elementary School,Smarter Balanced Summative Assessment,MATH,4th Grade,70.65,2513.11,542.0,19.357142857142858,180.66666666666666,,,,,,,,108.4,542.0,,,271.0,,90.33333333333333,,,,,,,,135.5,542.0,,542.0,542.0,,542.0,,,,
2015,620,W. B. Simpson Elementary School,Smarter Balanced Summative Assessment,MATH,5th Grade,45.53,2518.67,542.0,19.357142857142858,180.66666666666666,,,,,,,,108.4,542.0,,,271.0,,90.33333333333333,,,,,,,,135.5,542.0,,542.0,542.0,,542.0,,,,
2015,620,W. B. Simpson Elementary School,Smarter Balanced Summative Assessment,MATH,All Students,56.66,,542.0,19.357142857142858,180.66666666666666,,,,,,,,108.4,542.0,,,271.0,,90.33333333333333,,,,,,,,135.5,542.0,,542.0,542.0,,542.0,,,,
2015,621,F. Niel Postlethwait Middle School,Smarter Balanced Summative Assessment,ELA,6th Grade,51.33,2534.9,826.0,23.6,75.0909090909091,826.0,,,,,,,137.66666666666666,826.0,,,413.0,,165.2,,,,,,826.0,,82.6,826.0,,826.0,413.0,826.0,826.0,,,,
