PctProficient,ScaleScoreAvg,FallEnrollment,"Students Per Teacher, Regular","Students Per Teacher, Special","Students Per Specialist, Instructional",Students Per Assistant Superintendent,Students Per Administrative Assistant,"Students Per Supervisor, Pupil Support",Students Per Crafts & Trades,Students Per Technical,"Students Per Supervisor, General Support",Students Per Custodial,Students Per Managerial,Students Per Director,"Students Per Supervisor, Instructional",Students Per Secretarial,Students Per Superintendent,Students Per Cafeteria Worker,"Students Per Specialist, General Support",Students Per Home Visitor,Students Per Other Pupil Support,Students Per Psychologist,Students Per Speech and Hearing Therapist,Students Per Other Instructional Support,"Students Per Specialist, Pupil Support",Students Per Teaching & Clerical Aide,Students Per Nurse,Students Per Social Worker,Students Per Principal,Students Per Guidance Counselor,Students Per Assistant Principal,Students Per Librarian,Students Per Service Aide,Students Per Bus Driver & Laborer,Students Per Other General Support,Students Per Psychometrist
56.61,,411.0,17.869565217391305,137.0,,,,,,,,102.75,,,,411.0,,137.0,,,,411.0,,,,,411.0,,411.0,411.0,411.0,411.0,,,,
65.94,,559.0,19.964285714285715,139.75,,,,,,,,139.75,,,,559.0,,186.33333333333331,,,,,,,,,559.0,,559.0,559.0,559.0,559.0,,,,
63.36,,540.0,19.285714285714285,90.0,540.0,,,,,,,135.0,,,,540.0,,135.0,,,,,,,,180.0,540.0,,540.0,540.0,540.0,540.0,,,,
40.97,,448.0,18.666666666666668,112.0,448.0,,,,,,,112.0,,,,224.0,,112.0,,,,448.0,448.0,,,149.33333333333334,448.0,,448.0,448.0,448.0,448.0,,,,
62.58,,803.0,22.30555555555556,38.23809523809524,803.0,,,,,,,100.375,803.0,,,401.5,,89.22222222222223,,,,401.5,200.75,,,57.35714285714285,803.0,803.0,803.0,401.5,401.5,803.0,,,,
30.41,,393.0,17.08695652173913,49.125,393.0,,,,,,,78.6,,,,196.5,,65.5,,,,393.0,196.5,,,65.5,393.0,,393.0,393.0,393.0,393.0,,,,
57.22,,952.0,17.962264150943398,56.0,952.0,,,,,,,105.77777777777776,952.0,,,238.0,,119.0,,,,952.0,952.0,476.0,952.0,79.33333333333333,952.0,476.0,952.0,317.3333333333333,476.0,952.0,,952.0,,
46.73,,764.0,22.47058823529412,38.2,764.0,,,,,,,95.5,,,,382.0,,127.33333333333331,,,,764.0,764.0,,764.0,109.14285714285714,764.0,,764.0,382.0,382.0,764.0,,,,
56.64,,881.0,17.979591836734695,73.41666666666667,881.0,,,,,,,146.83333333333334,881.0,,,293.6666666666667,,97.88888888888889,,,,,881.0,,,440.5,881.0,,881.0,293.6666666666667,440.5,881.0,,881.0,,
42.07,,666.0,15.857142857142858,83.25,666.0,,,,,,,95.14285714285714,666.0,,,222.0,,66.6,,,,666.0,,,,222.0,666.0,,666.0,222.0,666.0,666.0,,666.0,,
47.64,,906.0,17.423076923076923,75.5,906.0,,,,,,,100.66666666666669,906.0,,,302.0,,82.36363636363636,,,,906.0,,,906.0,453.0,906.0,,906.0,302.0,302.0,906.0,,453.0,,
61.54,,1086.0,17.516129032258064,120.66666666666669,1086.0,,,,,,,108.6,1086.0,,,362.0,,98.72727272727272,,,,1086.0,,,,543.0,1086.0,,1086.0,271.5,543.0,1086.0,,543.0,,
65.69,,1120.0,18.666666666666668,62.22222222222222,1120.0,,,,,,,101.8181818181818,1120.0,,,373.3333333333333,,124.44444444444444,,,,1120.0,1120.0,373.3333333333333,,140.0,1120.0,,1120.0,224.0,560.0,1120.0,,1120.0,,
47.13,,529.0,21.16,105.8,529.0,,,,,,,88.16666666666667,,,,264.5,,105.8,,,,,264.5,529.0,,,529.0,,529.0,529.0,529.0,529.0,529.0,,,
64.11,,605.0,20.86206896551724,121.0,,,,,,,,151.25,605.0,,,302.5,,151.25,,,,605.0,605.0,605.0,,,605.0,,605.0,605.0,605.0,605.0,,,,
29.53,,368.0,16.727272727272727,184.0,,,,,,,,122.66666666666669,,,,368.0,,92.0,,,,368.0,,368.0,,368.0,368.0,,368.0,368.0,368.0,368.0,368.0,,,
30.89,,471.0,15.193548387096774,471.0,471.0,,,,,,,117.75,471.0,,,471.0,,78.5,,,,471.0,471.0,,,94.2,471.0,,471.0,471.0,471.0,,117.75,,,
20.92,,315.0,14.318181818181818,105.0,,,,,,,,78.75,,,,315.0,,78.75,,,,315.0,,315.0,,157.5,315.0,,315.0,315.0,315.0,,,,,
77.59,,837.0,19.46511627906977,167.4,,,,,,,,209.25,,,,837.0,,167.4,,,,837.0,,,,418.5,837.0,,837.0,837.0,837.0,837.0,,,,
27.24,,633.0,15.825,105.5,633.0,,,,,,,90.42857142857144,633.0,,,316.5,,90.42857142857144,,,,633.0,,,316.5,211.0,633.0,633.0,633.0,633.0,633.0,,,,,
32.75,,479.0,16.517241379310345,95.8,,,,,,,,95.8,479.0,,,239.5,,79.83333333333333,,,,,479.0,479.0,,479.0,479.0,,479.0,479.0,479.0,479.0,,,,
